Register Value,Player Name,Salary in $,Season Start,Season End,Team,Full Team Name
11112,Marreese Speights,1403611,2016,2017,LAC,Los Angeles Clippers
11113,Marshall Plumlee,543471,2016,2017,NYK,New York Knicks
11114,Martell Webster,830000,2016,2017,WAS,Washington Wizards
11115,Marvin Williams,12250000,2016,2017,CHA,Charlotte Hornets
11116,Mason Plumlee,2328530,2016,2017,DEN,Denver Nuggets
11117,Matt Barnes,6125000,2016,2017,SAC,Sacramento Kings
11118,Matt Barnes,383351,2016,2017,GSW,Golden State Warriors
11119,Matt Costello,50000,2016,2017,ATL,Atlanta Hawks
11120,Matt Costello,31500,2016,2017,MEM,Memphis Grizzlies
11121,Matthew Dellavedova,9607500,2016,2017,MIL,Milwaukee Bucks
11122,Maurice Harkless,8988764,2016,2017,POR,Portland Trail Blazers
11123,Maurice Ndour,543471,2016,2017,NYK,New York Knicks
11124,Maurice Ndour,437318,2016,2017,DAL,Dallas Mavericks
11125,Metta World Peace,1551659,2016,2017,LAL,Los Angeles Lakers
11126,Meyers Leonard,9213484,2016,2017,POR,Portland Trail Blazers
11127,Michael Beasley,1403611,2016,2017,MIL,Milwaukee Bucks
11128,Michael Beasley,777777,2016,2017,PHO,Phoenix Suns
11129,Michael Carter-Williams,3183526,2016,2017,CHI,Chicago Bulls
11130,Michael Gbinije,650000,2016,2017,DET,Detroit Pistons
11131,Michael Kidd-Gilchrist,13000000,2016,2017,CHA,Charlotte Hornets
11132,Mike Conley,26540100,2016,2017,MEM,Memphis Grizzlies
11133,Mike Dunleavy,4837500,2016,2017,ATL,Atlanta Hawks
11134,Mike Miller,3500000,2016,2017,DEN,Denver Nuggets
11135,Mike Muscala,1015696,2016,2017,ATL,Atlanta Hawks
11136,Mike Scott,3333334,2016,2017,PHO,Phoenix Suns
11137,Mike Tobey,138938,2016,2017,CHA,Charlotte Hornets
11138,Miles Plumlee,12500000,2016,2017,MIL,Milwaukee Bucks
11139,Mindaugas Kuzminskas,2898000,2016,2017,NYK,New York Knicks
11140,Miroslav Raduljica,300000,2016,2017,LAC,Los Angeles Clippers
11141,Mirza Teletovic,10500000,2016,2017,MIL,Milwaukee Bucks
11142,Mitch McGary,1526040,2016,2017,OKC,Oklahoma City Thunder
11143,Mo Williams,2200000,2016,2017,DEN,Denver Nuggets
11144,Monta Ellis,10770000,2016,2017,IND,Indiana Pacers
11145,Montrezl Harrell,1045000,2016,2017,HOU,Houston Rockets
11146,Myles Turner,2463840,2016,2017,IND,Indiana Pacers
11147,Nate Wolters,50000,2016,2017,DEN,Denver Nuggets
11148,Nemanja Bjelica,3800000,2016,2017,MIN,Minnesota Timberwolves
11149,Nene Hilario,2898000,2016,2017,HOU,Houston Rockets
11150,Nerlens Noel,4384490,2016,2017,DAL,Dallas Mavericks
11151,Nick Collison,3750000,2016,2017,OKC,Oklahoma City Thunder
11152,Nick Johnson,980431,2016,2017,DEN,Denver Nuggets
11153,Nick Young,5443918,2016,2017,LAL,Los Angeles Lakers
11154,Nick Zeisloft,25000,2016,2017,IND,Indiana Pacers
11155,Nicolas Batum,20869566,2016,2017,CHA,Charlotte Hornets
11156,Nicolas Brussino,543471,2016,2017,DAL,Dallas Mavericks
11157,Nicolas Laprovittola,210995,2016,2017,SAS,San Antonio Spurs
11158,Nik Stauskas,2993040,2016,2017,PHI,Philadelphia 76ers
11159,Nikola Jokic,1358500,2016,2017,DEN,Denver Nuggets
11160,Nikola Jovanovic,30000,2016,2017,DET,Detroit Pistons
11161,Nikola Mirotic,5782450,2016,2017,CHI,Chicago Bulls
11162,Nikola Pekovic,12100000,2016,2017,MIN,Minnesota Timberwolves
11163,Nikola Vucevic,11750000,2016,2017,ORL,Orlando Magic
11164,Noah Vonleh,2751360,2016,2017,POR,Portland Trail Blazers
11165,Norman Powell,874636,2016,2017,TOR,Toronto Raptors 
11166,Norris Cole,247991,2016,2017,OKC,Oklahoma City Thunder
11167,Okaro White,374933,2016,2017,MIA,Miami Heat
11168,Omer Asik,9904494,2016,2017,NOH,New Orleans Pelicans
11169,Omri Casspi,3000000,2016,2017,NOH,New Orleans Pelicans
11170,Omri Casspi,138414,2016,2017,MIN,Minnesota Timberwolves
11171,Otto Porter,5893981,2016,2017,WAS,Washington Wizards
11172,P.J. Hairston,11534,2016,2017,HOU,Houston Rockets
11173,P.J. Tucker,5300000,2016,2017,TOR,Toronto Raptors 
11174,Pablo Prigioni,1050961,2016,2017,HOU,Houston Rockets
11175,Pascal Siakam,1196040,2016,2017,TOR,Toronto Raptors 
11176,Pat Connaughton,874636,2016,2017,POR,Portland Trail Blazers
11177,Patricio Garino,100000,2016,2017,SAS,San Antonio Spurs
11178,Patricio Garino,31969,2016,2017,ORL,Orlando Magic
11179,Patrick Beverley,6000000,2016,2017,HOU,Houston Rockets
11180,Patrick McCaw,543471,2016,2017,GSW,Golden State Warriors
11181,Patrick Patterson,6050000,2016,2017,TOR,Toronto Raptors 
11182,Patty Mills,3578948,2016,2017,SAS,San Antonio Spurs
11183,Pau Gasol,15500000,2016,2017,SAS,San Antonio Spurs
11184,Paul George,18314532,2016,2017,IND,Indiana Pacers
11185,Paul Millsap,20072033,2016,2017,ATL,Atlanta Hawks
11186,Paul Pierce,3500000,2016,2017,LAC,Los Angeles Clippers
11187,Paul Zipser,750000,2016,2017,CHI,Chicago Bulls
11188,Phil Pressey,35000,2016,2017,GSW,Golden State Warriors
11189,Pierre Jackson,105498,2016,2017,DAL,Dallas Mavericks
11190,Prince Ibeh,31969,2016,2017,NJN,Brooklyn Nets
11191,Quincy Acy,1914544,2016,2017,NJN,Brooklyn Nets
11192,Quincy Acy,1050961,2016,2017,DAL,Dallas Mavericks
11193,Quincy Ford,75000,2016,2017,UTA,Utah Jazz
11194,Quincy Pondexter,3617978,2016,2017,NOH,New Orleans Pelicans
11195,Quinn Cook,79922,2016,2017,NOH,New Orleans Pelicans
11196,Quinn Cook,31969,2016,2017,DAL,Dallas Mavericks
11197,R.J. Hunter,1200240,2016,2017,BOS,Boston Celtic
11198,R.J. Hunter,425000,2016,2017,CHI,Chicago Bulls
11199,Rajon Rondo,14000000,2016,2017,CHI,Chicago Bulls
11200,Rakeem Christmas,1052342,2016,2017,IND,Indiana Pacers
11201,Ramon Sessions,6000000,2016,2017,CHA,Charlotte Hornets
11202,Randy Foye,2500000,2016,2017,NJN,Brooklyn Nets
11203,Rashad Vaughn,1811040,2016,2017,MIL,Milwaukee Bucks
11204,Raul Neto,937800,2016,2017,UTA,Utah Jazz
11205,Ray McCallum,119494,2016,2017,CHA,Charlotte Hornets
11206,Ray McCallum,11949,2016,2017,DET,Detroit Pistons
11207,Raymond Felton,1551659,2016,2017,LAC,Los Angeles Clippers
11208,Reggie Bullock,2255644,2016,2017,DET,Detroit Pistons
11209,Reggie Jackson,14956522,2016,2017,DET,Detroit Pistons
11210,Reggie Williams,252676,2016,2017,NOH,New Orleans Pelicans
11211,Reggie Williams,50000,2016,2017,OKC,Oklahoma City Thunder
11212,Richard Jefferson,2500000,2016,2017,CLE,Cleveland Caveliers
11213,Richaun Holmes,1025831,2016,2017,PHI,Philadelphia 76ers
11214,Ricky Rubio,13550000,2016,2017,MIN,Minnesota Timberwolves
11215,Robbie Hummel,150000,2016,2017,DEN,Denver Nuggets
11216,Robert Covington,1015696,2016,2017,PHI,Philadelphia 76ers
11217,Robin Lopez,13219250,2016,2017,CHI,Chicago Bulls
11218,Rodney Hood,1406520,2016,2017,UTA,Utah Jazz
11219,Rodney McGruder,543471,2016,2017,MIA,Miami Heat
11220,Rodney Stuckey,7000000,2016,2017,IND,Indiana Pacers
11221,Ron Baker,543471,2016,2017,NYK,New York Knicks
11222,Rondae Hollis-Jefferson,1395600,2016,2017,NJN,Brooklyn Nets
11223,Ronnie Price,2557545,2016,2017,OKC,Oklahoma City Thunder
11224,Ronnie Price,465143,2016,2017,PHO,Phoenix Suns
11225,Roy Hibbert,5000000,2016,2017,DEN,Denver Nuggets
11226,Rudy Gay,13333333,2016,2017,SAC,Sacramento Kings
11227,Rudy Gobert,2121288,2016,2017,UTA,Utah Jazz
11228,Russell Westbrook,26540100,2016,2017,OKC,Oklahoma City Thunder
11229,Ryan Anderson,18735364,2016,2017,HOU,Houston Rockets
11230,Ryan Arcidiacono,75000,2016,2017,SAS,San Antonio Spurs
11231,Ryan Kelly,418228,2016,2017,ATL,Atlanta Hawks
11232,Salah Mejri,874636,2016,2017,DAL,Dallas Mavericks
11233,Sam Dekker,1720560,2016,2017,HOU,Houston Rockets
11234,Sasha Kaun,1333420,2016,2017,PHI,Philadelphia 76ers
11235,Sasha Vujacic,1410598,2016,2017,NYK,New York Knicks
11236,Scott Wood,50000,2016,2017,GSW,Golden State Warriors
11237,Sean Kilpatrick,980431,2016,2017,NJN,Brooklyn Nets
